cleanedV	Freq
deny	10
denying	2
denzel	1
dep	2
departed	3
departing	10
department	12
departmentbad	1
departments	3
depend	1
dependency	4
dependent	7
depending	4
depends	2
dependson	1
depict	1
depicted	2
deplete	1
deplorable	1
deplorables	4
deplore	2
deploy	1
deployed	2
deploying	1
deport	3
deportation	2
deportations	3
deported	3
depraved	1
depreciated	1
depressed	2
depressing	1
depression	5
deprimo	1
deprivation	1
deprived	1
dept	9
depth	1
deputy	3
derail	1
derails	1
deranged	1
derby	3
derek	36
derekhough	1
derekonly	1
derived	1
derogatory	1
des	18
desantis	1
descended	1
descent	2
describe	6
described	2
describes	2
describing	4
description	1
desde	1
desert	1
deserted	1
deserter	11
desertion	1
deserve	25
deserved	13
deserves	32
desi	1
design	29
designate	1
designated	3
designed	23
designer	3
designers	2
designs	5
desirable	1
desire	8
desk	7
desktop	1
desmoines	1
despair	2
desperate	47
desperatea	1
desperately	20
desperation	3
despise	5
despises	1
despite	58
destabalize	1
destabilizing	1
destination	17
destinations	2
destinationsso	1
destined	9
destiny	10
destroy	67
destroya	1
destroyed	35
destroyedabsolutely	1
destroyedby	1
destroyer	1
destroyin	1
destroying	41
destroys	6
destruct	1
destruction	20
destructive	4
detached	1
detail	11
detailed	2
detailedthe	1
detailing	3
details	16
detained	1
detainee	3
detainees	2
detective	1
detectives	1
deteriorating	1
determination	8
determinationbe	1
determine	4
determined	6
determining	2
deterrence	1
deterrent	1
deterrentus	1
detest	1
detract	1
detractors	1
detriment	1
detrimental	2
detroit	13
detroits	1
devalue	2
devaney	1
devastated	7
devastating	9
devastation	1
devasted	1
develop	16
developed	3
developer	7
developers	4
developing	10
development	12
developmentbe	1
developments	7
developmentsin	1
deviant	1
device	2
devices	1
devote	2
devoted	3
devotes	1
devout	1
dew	1
dgreat	1
dhabi	2
diagnosed	1
dial	1
dialogue	3
diamond	23
dianasaw	1
diane	2
dianne	3
diapers	1
diary	1
dick	6
dickers	1
dickerson	2
dictate	3
dictator	2
dictionary	5
did	472
diddy	1
didin	1
didnt	197
didthanks	1
die	24
died	28
diego	7
dieing	1
dies	1
dieshe	1
diet	7
difference	31
differences	2
differencetrue	1
differenceyou	1
different	31
differently	3
difficult	15
difficulties	15
difficulty	6
dig	2
digest	1
digests	1
diggin	1
digit	3
digital	3
digits	3
dignified	2
dignity	7
digs	3
dilemma	2
diligence	10
diligent	2
dilignet	1
diller	5
dillon	1
dim	1
dime	6
dimes	1
dimming	1
dimon	4
dimoni	1
dinald	1
dine	2
dined	2
diner	1
dinesh	1
dining	24
dinner	62
dinners	1
dinnerto	1
dino	1
dip	1
diplomacy	3
diplomacyhow	1
diplomat	3
diplomatic	8
diplomats	3
dipshit	1
dire	3
direct	13
directed	2
directing	1
direction	28
directions	2
directly	18
directness	1
director	12
directors	4
dirksmy	1
dirt	3
dirty	19
disabilities	2
disability	3
disabled	5
disadvantage	4
disaffected	1
disagree	13
disagreed	1
disagreei	1
disallow	1
disappear	2
disappeared	3
disappoint	5
disappointed	16
disappointing	3
disappointment	1
disapproval	1
disapproved	1
disarm	2
disarray	3
disaster	165
disasterit	1
disastermaybe	1
disasters	9
disasterthe	1
disasterthey	1
disastrous	9
disavow	3
disavowed	3
disbanded	3
disbelief	2
discernment	1
disciples	2
discipline	6
disciplined	4
disclaimer	1
disclose	3
disclosed	2
disclosing	1
disclosure	7
disconnect	1
disconnected	1
discord	2
discount	2
discounting	2
discounts	2
discourage	1
discouraged	1
discouragement	3
discouraging	1
discourse	1
discover	3
discovered	1
discovery	10
discredit	1
discredited	6
discrediting	1
discrepancies	1
discretionary	1
discriminated	1
discriminating	1
discrimination	1
discriminatoryracist	1
discriptive	1
discuss	41
discussed	9
discusses	3
discussing	203
discussion	5
discussions	1
disdain	2
disease	9
diseases	3
disenfranchised	2
disengaged	1
disengenuos	1
disgrace	29
disgraced	1
disgraceful	11
disgracefulthe	1
disgraceif	1
disgraces	1
disguise	1
disgust	2
disgusted	2
disgusting	33
disgustingly	1
disgustingnipples	1
disgustingsad	1
disgustingthe	1
dish	1
disheartened	1
dishes	1
dishonest	116
dishonesty	3
disintegrating	1
dislike	4
disliked	1
dislikes	1
disloyal	16
disloyalty	2
dismal	9
dismantle	2
dismantles	1
dismantling	2
dismiss	1
disney	13
disown	1
dispelled	1
dispensed	1
display	4
displayed	3
displaying	1
disposed	2
disproportionate	1
disproportionately	1
disputes	2
disputing	1
disqualified	3
disqualify	1
disqualifying	1
disraeli	2
disregard	2
disrespect	6
disrespectful	6
disrupt	3
disrupted	1
disrupter	2
disruptors	1
dissapating	1
dissatisfied	1
dissed	1
dissemble	1
disservice	1
disses	1
dissipates	1
distant	1
distinct	2
distinction	1
distinctive	1
distinguished	1
distinguishes	5
distort	2
distorted	3
distortion	2
distortions	1
distorts	1
distract	1
distracted	1
distracting	1
distraction	1
distrbution	1
distressed	1
distributed	1
district	4
districts	1
distrust	1
disturbed	1
ditch	1
ditka	8
ditto	1
diva	1
diverse	5
dives	2
divide	2
divided	16
dividends	2
division	4
divisions	2
divisive	2
dj	3
django	4
djt	31
djtrump	1
dl	1
dlg	1
dma	1
dnc	21
dnt	1
do	1356
doand	1
dobiassaid	1
dobut	1
doc	4
dockett	2
docs	2
doctor	15
doctorinflicted	1
doctors	17
doctorsfraud	1
doctrine	2
document	1
documentaries	3
documentary	14
documentaryamp	1
documentation	2
documentit	1
documents	6
dod	1
dodge	2
dodgers	1
dodges	1
doe	2
doer	1
doers	3
does	319
doesnt	307
doesobama	1
dofor	1
dog	36
dogan	1
doghouse	1
dogover	1
dogs	2
doha	1
doi	1
doing	455
doingamp	1
doingevery	1
doinghis	1
doingwill	1
doingyou	1
doj	4
dole	2
doll	1
dollar	48
dollars	100
dollarsi	1
dollarsunbelievable	1
dollarthey	1
dolly	2
dolt	1
dom	1
domain	7
domainamericans	1
domestic	7
domestically	3
dominance	2
dominant	3
dominate	7
dominates	2
dominating	9
domination	2
dominican	1
domuch	1
don	64
dona	1
donahue	1
donal	3
donald	465
donald️	1
donaldhe	1
donaldi	1
donaldin	1
donaldjtrump	1
donaldkeep	1
donaldnowhere	1
donaldrun	3
donalds	9
donaldthe	1
donaldtrump	1283
donaldtrump16	1
donaldtrump2016all	1
donaldtrumpa	1
donaldtrumpcoast	1
donaldtrumpcrippled	1
donaldtrumpeconomic	1
donaldtrumpgo	1
donaldtrumphe	1
donaldtrumplove	1
donaldtrumpname	1
donaldtrumppresident	1
donaldtrumps	68
donaldtrumpthe	2
donaldtrumpthey	1
donaldtrumpu	1
donaldtrumpyou	1
donaldyou	1
donaldyour	1
donate	19
donated	9
donates	2
donating	7
donation	12
donations	17
done	318
donepolitics	1
donetoo	1
donever	1
doneyet	1
donna	4
donnellys	1
donnie	3
donny	6
dono	1
donohue	1
donor	9
donors	22
donorsare	1
donorslobbyist	1
donorsspecial	1
dons	1
dont	992
dontrumpjr	1
donttremendous	1
doodoo	1
doom	1
doomed	2
doonbeg	27
door	13
doormat	1
doors	8
doorstep	1
doortodo	1
dope	33
dopeand	1
dopeopposite	1
dopes	8
dopesof	1
dopey	65
dopeybig	1
dopeyi	1
dopeywho	1
dopeyyou	1
doping	4
doral	146
doralbest	1
doralhe	1
doralit	1
doralmiami	1
dorals	5
dore	1
dorianit	1
doris	1
dorm	1
dornoch	1
dornsife	1
dorothy	1
dorton	1
dorya	2
dose	7
doses	5
dosespread	2
dossier	1
dothe	1
dotting	1
double	36
doubled	10
doubledigit	1
doubles	1
doublesided	1
doublespeak	1
doubling	1
doubt	57
doubted	1
doubters	2
doubts	2
douche	2
doug	6
dough	1
douglas	20
douglasno	2
dow	5
dowd	1
dowhy	1
down	364
downed	1
downfast	1
downgrade	4
downgraded	8
downgrades	1
downgrading	1
downhill	2
download	3
downlost	1
downnobody	1
downreagan	1
downs	4
downside	4
downsidethe	1
downthey	1
downtown	17
downtownamp	1
downtowns	1
downtrump	1
downturn	4
downward	5
downwonder	1
downyou	1
doylehe	1
doyou	1
doyour	1
dozen	4
dozens	2
dp	1
dr	22
draft	2
drafted	2
drag	1
dragged	1
dragging	1
drain	11
drained	1
drake	1
drama	11
dramatic	3
dramatically	2
dramaunless	1
drank	2
draw	7
drawing	5
drawn	7
draws	1
dreadful	1
dream	65
dreamed	1
dreamers	1
dreaming	3
dreamliner	1
dreams	18
dreamsstudy	1
drehle	1
dress	15
dressed	6
drew	10
dried	1
drill	6
drilling	7
drink	2
drinking	6
drinks	1
dripdrip	2
dripdrop	1
drive	26
driveand	1
driven	5
driver	6
drivers	6
drives	1
driving	28
drone	5
drones	5
dronethey	1
droning	1
drooling	1
drop	40
dropped	38
dropping	16
drops	4
dror	1
drought	1
drove	8
droves	2
drs	2
drucker	2
drudge	13
drudges	1
drudgetime	1
drug	27
drugged	1
druggie	4
druggies	2
drugrunners	1
drugs	16
drugsjust	1
drunk	4
dry	3
dsousa	1
dsrl	1
dt	35
dtrump	2
dts	1
dttime	1
dual	1
dubai	39
dubuque	1
duck	4
dud	2
dude	6
dudes	2
due	45
duel	1
dues	1
duffe	1
dugout	1
duh	2
duke	4
dull	2
dumb	107
dumbass	2
dumbasses	1
dumbbut	1
dumber	9
dumbest	24
dumbestand	1
dumbnow	1
dumler	1
dummies	11
dummy	67
dummyi	3
dummyit	1
dummyjust	1
dummynocontest	1
dummythanks	1
dummywasnt	1
dump	16
dumped	3
dumping	5
dumps	1
duncan	6
dunes	10
dunk	1
dunn	6
duo	3
duped	1
dupedwake	1
duplicity	1
durable	1
durant	1
durdin	1
during	149
durst	5
dursts	2
duscussing	1
dust	4
dustand	1
dustin	2
dusty	1
dutchess	6
duty	12
dvr	6
dvrd	1
dwarf	1
dwell	3
dwight	9
dwindling	3
dws	1
dwyane	2
dye	2
dying	41
dynamic	4
dynasties	1
dynasty	1
dynastylies	1
dysfunction	1
dysfunctional	4
e	5
each	76
eager	2
eagerly	1
eagle	4
eagles	12
earlier	10
earliest	2
early	65
earlystupid	1
earn	4
earned	10
earnest	1
earnings	2
earns	1
ears	4
earth	30
earthquake	1
earthquakes	1
earthwhen	1
ease	2
easier	11
easiest	1
easily	46
east	30
easter	17
easterlook	1
eastern	10
easternfox	1
easternwill	1
eastwood	8
easy	81
easydanny	1
easygood	1
easyhe	1
easyonly	1
eat	7
eaten	2
eater	2
eating	5
eaton	1
eau	1
eb	1
ebenezer	1
ebner	1
ebola	94
ebolaa	1
ebolano	1
ebolas	1
ebolathen	1
ebolathey	1
echo	1
echoes	1
eco	1
ecommercewhat	1
econ	2
economic	90
economically	9
economicallydonaldtrump	1
economics	2
economicsfinances	1
economies	1
economist	3
economists	3
economistyougov	1
economize	3
economy	191
economyif	1
economynot	1
economyworkers	1
ecosystems	1
ecstatic	2
ect	2
ectso	1
ed	13
edddie24	1
eddie	2
edge	9
edgeno	1
edges	2
edison	15
edit	1
edited	2
editing	2
edition	10
editionsad	1
editor	10
editoratlarge	1
editorial	30
editorials	1
editors	1
editorvery	1
eduardo	1
educate	3
educated	2
educates	1
educating	1
education	25
educational	3
edward	8
edwardian	1
edwards	2
effect	15
effective	23
effectively	5
effects	1
efficiency	1
efficient	4
efficiently	2
efficienttremendous	1
effing	1
effort	38
effortif	1
effortlessly	1
efforts	13
effortsthanks	1
eggs	4
ego	21
egon	1
egop	1
egos	2
egotist	1
egotistical	1
egypt	37
egyptian	3
egypts	2
egyptthey	1
eh	1
eight	5
eighth	1
eighty	1
eileen	1
einstein	32
eisenhower	4
either	48
el	11
elaine	1
elated	2
elderly	3
eldest	1
elect	22
electability	3
electable	2
elected	60
electedbe	1
electing	6
election	247
electionamp	1
electionand	1
electioni	1
electionlosing	1
elections	21
elective	1
electoral	10
electorate	1
electric	9
electricity	10
electronic	2
electronics	1
elegance	4
elegant	7
elegantclassy	1
elememt	1
element	11
elemental	1
elements	1
elephants	4
elevate	2
elevated	2
elevator	1
eleven	3
eleventh	1
elf	1
eli	5
eliana	1
elie	1
eligibility	2
eligible	8
eliminate	6
eliminated	4
eliminates	1
eliminating	1
eliot	18
eliots	1
elisabeth	2
elite	30
elites	5
elitistthe	1
elizabeth	30
elko	1
elle	1
ellen	8
ellie	1
elliot	1
ellioti	1
elliott	1
ellisget	1
ellison	1
elmsford	1
elon	1
els	3
else	135
elsemerely	1
elses	1
elsetrump	1
elsewhere	2
elsewherecrazy	1
elseyou	1
elsupremo	1
elton	2
elude	1
elway	1
em	32
email	34
emails	57
emanated	1
emanual	1
emanuel	5
embarassing	1
embarassment	2
embarasssmnet	1
embargo	1
embargoed	1
embark	1
embarrass	2
embarrassed	22
embarrasses	1
embarrassing	7
embarrassment	11
embassies	10
embassy	13
embellish	1
emblazoned	1
emblem	1
emblematic	1
embodies	1
embodying	1
emboldened	2
emboldens	1
embrace	11
embraced	3
embracing	1
emelie	1
emerald	1
emerged	1
emergency	6
emerges	3
emerging	1
emerson	9
emilee	1
emilgreat	1
emilio	1
emily	2
emilytrue	1
emin	4
eminence	1
eminent	8
emirates	1
emissions	3
emmett	2
emmy	7
emmys	16
emotion	3
emotional	2
emotions	1
emperor	1
emphasis	1
emphasize	4
emphasizes	1
empire	22
empires	3
employ	10
employed	2
employee	7
employees	18
employeesmake	1
employer	2
employerprovided	1
employers	6
employing	1
employment	7
employmentthe	1
employs	1
empower	1
empowering	6
empty	6
emulate	1
emulated	1
en	1
enabled	1
enabler	1
enablers	1
enact	1
enacted	1
enclosed	1
encounter	1
encountered	1
encourage	6
encouraged	2
encouragement	1
encourages	2
encouraging	1
end	118
endalthough	1
endeavor	8
endeavors	2
endeavours	1
ended	3
endemic	1
ending	12
endings	1
endless	4
endlessly	5
endofmonth	4
endometriosis	1
endorse	16
endorsed	37
endorsement	65
endorsementme	1
endorsementrubs	1
endorsements	3
endorses	10
endorsing	11
ends	11
enduring	1
ene	1
enemies	44
enemiesa	1
enemy	40
enemymexico	1
enemyshould	1
enemythey	1
enemyworld	1
energetic	1
energeticsavvy	1
energies	1
energize	2
energized	7
energizer	2
energizes	1
energizing	2
energy	153
energyclose	1
energywithout	1
enforce	4
enforcement	25
enforcing	1
engage	2
engaged	3
engagedshes	1
engagement	6
engages	2
engaging	1
engine	2
engineering	1
engineers	1
england	9
englands	1
english	3
enhance	3
enhanced	1
enjoy	303
enjoy7am	1
enjoyable	2
enjoyed	63
enjoying	23
enjoyment	3
enjoys	2
enlightening	1
enlist	1
enlisted	1
enormous	7
enough	154
enoughgood	1
enoughor	1
enqwere	1
enrich	1
enrique	1
enrolled	3
enrollee	1
enrollees	1
enrolling	1
enrollment	7
enrollments	1
enron	1
enslave	1
ensnared	1
ensue	1
ensure	1
ensures	1
entailed	1
enter	25
enterainment	1
entered	6
entering	7
enterprise	7
enterprisejoin	1
enterprises	2
entertainanother	1
entertained	1
entertainer	3
entertainers	1
entertaining	21
entertainingampmassively	1
entertainingmuch	1
entertainment	11
enthusiasm	20
enthusiast	1
enthusiastic	10
entire	50
entirely	1
entirety	2
entities	1
entitled	7
entitlement	3
entitlements	1
entity	2
entranced	1
entrepeneurs	1
entrepreneur	49
entrepreneurial	9
entrepreneurialism	1
entrepreneurs	243
entrepreneursalways	1
entrepreneurship	9
entrepreneurshipit	1
entrepreneursstay	1
entreprenuer	1
entrust	1
entry	1
enuf	1
envelope	2
envied	2
envious	1
enviro	1
environment	17
environmental	10
environmentalists	5
environmentally	2
environments	2
envision	2
envisioned	1
envy	1
eowdc	1
ep	3
epa	8
epic	18
epidemic	7
epipens	1
episode	84
episodeover	1
episodes	30
episodesgreat	1
episodespriceless	1
episodewjoan	1
epitome	2
epitomize	2
epitomizes	2
epitomy	1
eppisode	1
eps	1
equal	6
equality	2
equally	4
equals	4
equated	1
equating	1
equestrian	3
equilibrium	4
equipment	3
equipped	1
equitable	1
equity	6
equity12m	1
equivalent	1
equivocation	1
era	6
eradicate	1
eradicating	1
erase	2
eraser	1
erek	1
eric	75
ericaand	1
erick	1
ericksondesigned	1
erickthanksand	1
erics	1
erictrue	1
erictrump	1
erie	2
erik	1
eriks	1
erin	6
ermey	1
ernie	6
ernieyou	1
ernst	1
erode	3
erodes	1
eroding	2
erol	1
errand	1
erratic	1
errol	1
error	5
erupted	1
erupts	2
erving	1
escalates	1
escapades	1
escape	4
escaped	4
escapes	1
escapetotally	1
escaping	1
escorted	1
especially	44
espionage	8
espn	7
espnat	1
espntwo	1
espouse	1
esquire	5
essay	1
essence	6
essential	5
essentially	6
essentials	1
est	55
estab	1
establish	5
established	1
establishment	58
establishments	1
establishmentthey	1
estate	65
estateegon	1
estates	9
este	9
esteem	1
esteemed	1
estefan	1
estes	1
estimate	1
estimated	1
estimates	6
eston	1
esxcited	1
et	61
etc	56
etcamp	1
etcboring	1
etcthe	1
etcwhy	1
eternity	1
ethan	1
ethic	12
ethical	1
ethics	6
etim	1
etpt	1
eu	5
euanwe	1
eugene	7
eulogy	1
euro	7
europe	23
european	7
europeans	2
europeconde	1
europes	4
europesame	1
eurozone	1
eus	1
evade	1
evading	1
evaluate	1
evaluating	1
evaluation	1
evan	3
evanchos	1
evangelical	6
evangelicals	16
evansville	2
evaporated	1
eve	11
evelina	1
even	457
evening	78
evenings	4
event	110
eventful	1
eventhough	1
eventintvw	1
events	32
eventual	2
eventually	7
ever	436
everbring	1
everbusiness	1
everett	3
everit	1
everthing	1
everwere	1
every	292
every1	1
everybod	1
everybody	61
everybodys	1
everyday	21
everyman	1
everyone	269
everyonei	1
everyones	9
everyonewe	1
everyou	1
everysingletime	1
everything	163
everythingbillions	1
everythingtax	1
everytime	3
everyting	1
everywhere	19
eveving	1
evidence	13
evidenced	1
evidencethey	1
evident	1
evil	9
evils	1
eviscerated	1
evokes	3
evolution	1
evolve	1
evolves	1
evry1	1
ewerickson	1
ex	2
exact	12
exactly	43
exactthanks	1
examination	1
examined	1
examiner	1
example	29
examples	3
exams	1
exceed	2
exceeded	1
exceeds	1
excel	2
excelent	1
excellence	15
excellency	1
excellent	58
excellentcute	1
excellently	1
excellentthanks	1
except	48
exception	2
exceptional	15
exceptionalism	3
exceptionalist	1
exceptionally	2
exceptions	1
excerpt	3
excerpts	1
excess	1
excessive	5
exchange	9
exchanges	1
excite	1
excited	97
excitement	21
excitementthe	1
excites	1
exciting	69
excitingi	1
excitingtomorrow	1
exclaim	1
exclude	1
excluding	1
exclusive	41
exclusivedavi	1
exclusivedonaldtrump	1
exclusively	21
excon	1
excoriates	1
excoriating	1
excowboys	1
excursions	1
excuse	16
excuses	10
exec	5
execs	8
execute	5
executed	4
executedbut	1
executeyou	1
executing	3
execution	2
executionstyle	1
executive	30
executives	8
exemplary	2
exempt	2
exempted	3
exempting	1
exemption	1
exemptions	2
exercise	6
exercised	1
exerciselearn	1
exercises	1
exerciseso	1
exerting	1
exhausted	8
exhausting	1
exhausts	1
exhubby	1
exhusband	1
exintelligence	1
exist	9
existence	3
existential	1
existing	4
exists	7
exit	4
exkgb	1
exonerated	1
exorbitant	1
exotic	1
exp	1
expand	14
expandable	1
expanded	6
expanding	20
expands	1
expansion	5
expansive	1
expect	42
expectation	1
expectations	7
expected	42
expectedwe	1
expecting	5
expects	3
expendables	1
expending	1
expenditures	1
expense	4
expenses	2
expensesincluding	1
expensive	26
experence	1
experience	63
experienced	8
experienceit	1
experiences	5
experienceunlike	1
experiencing	2
experiment	1
experimental	1
expert	11
expertise	2
experts	8
expires	1
explain	27
explained	5
explaining	12
explains	12
explanation	2
explanations	2
explode	5
exploded	3
explodehes	1
explodenot	1
explodes	2
exploding	1
exploratory	4
explore	2
explored	1
explorers	1
explores	2
exploring	1
explosive	1
expo	4
export	2
exporter	1
exports	2
expose	7
exposed	8
exposes	5
exposing	9
exposure	1
expototal	1
expresidential	1
express	11
expressed	3
expresses	1
expression	1
expressly	1
exquisite	3
exsoviet	1
exstaffers	1
ext	1
extend	5
extended	4
extending	4
extends	1
extension	3
extent	1
exterior	1
extinct	2
extinction	2
extolled	1
extort	4
extorting	1
extortion	5
extra	8
extract	3
extraordinaire	1
extraordinarily	1
extraordinario	1
extraordinary	5
extravagant	1
extravagantly	1
extreme	9
extremely	15
extremist	1
extremists	1
exuberance	1
exude	1
exwife	1
exxon	1
exxonmobil	2
eye	9
eyed	2
eyeing	1
eyeliner	5
eyes	36
eyesa	1
eyesore	2
f	18
f16	1
f16s	2
f18	1
f2	1
f22	1
f35	5
f5m	1
fab	2
fabled	2
fabric	2
fabricate	1
fabricated	4
fabricating	1
fabrication	4
fabrications	1
fabulous	38
facade	1
face	82
facebook	30
faced	2
facenot	1
faces	7
facet	3
facilitate	2
facilitated	1
facilities	6
facility	7
facing	12
fact	108
factcheck	1
factgolfers	1
facthillaryclinton	1
factobama	1
factor	13
factories	7
factoriesbut	1
factors	2
factory	6
facts	34
factsits	1
factsno	1
factsthose	1
factstoo	1
factual	4
fade	4
faded	1
fadils	1
fading	4
fail	42
failed	132
failedin	1
failing	144
failingeven	1
failingwho	1
failis	1
fails	14
failure	82
failureas	1
failurefor	1
failures	15
fain	1
fair	77
fairfax	1
fairhis	2
fairin	1
fairits	1
fairly	10
fairlyenjoy	1
fairness	4
fairnessmany	1
fairto	1
fairways	3
fairy	2
faith	27
faithbased	1
faithful	2
fake	52
fakeass	1
faked	1
fakes	1
fakih	2
faking	1
faldo	3
fall	46
fallback	1
fallen	14
falling	27
fallon	11
fallout	1
falls	8
false	60
falsehoods	1
falsely	5
falter	1
falwell	4
fam	3
fame	51
famed	2
famer	5
familiar	2
families	44
family	188
familyamazing	1
familyfoodfriendsampyou	1
familyfriends	1
familyhe	1
familymaster	1
familys	1
famous	23
fampf	1
fan	122
fanastic	1
fanbase	1
fanfare	1
fanhe	1
fannie	2
fannow	1
fans	54
fantastic	257
fantastically	1
fantasticbe	1
fantasticmuch	1
fantasticshould	1
fantasticthanks	1
fantasticunbelievable	1
fantasy	2
far	218
farber	1
farbut	1
fared	1
fares	1
farewell	2
farfetched	1
fargo	1
farkeep	1
farm	17
farmers	3
farmington	1
farmland	2
farms	18
faround	1
farther	4
farthest	1
fascinated	1
fascinating	9
fascination	1
fascists	1
fashion	10
fashioned	3
fashionnot	1
faso	1
fast	167
fastalso	1
fastand	1
fastball	1
fastbefore	1
faster	11
fastest	6
fastsinking	1
fastthe	1
fasttrack	2
fastwill	1
fat	4
fatal	17
fate	11
father	59
fatherdaughter	2
fatherenjoy	1
fathers	19
fatnot	1
fattening	1
faucets	1
fault	12
faultpay	1
faults	2
faulty	3
faux	1
fav	8
fave	4
faventrepreneurs	1
faves	1
favor	40
favorability	7
favorable	1
favorables	1
favorably	1
favoramp	1
favorite	110
favorited	1
favorites	5
favoritethanks	1
favors	9
favour	1
favourite	6
favourites	1
favoutite	1
favs	2
fawning	4
fayetteville	4
fazio	7
fb	1
fbi	31
fbijust	1
fbishould	1
fcc	1
fckface	1
fd	1
fda	2
fdn	1
fdny	1
fdr	1
fear	28
feared	1
fearless	5
fearmongering	1
fears	2
fearwe	1
feat	5
feature	9
featured	15
features	38
featuring	24
feb	6
february	10
februarytrump	1
fec	3
feckless	1
fed	25
federal	32
feds	10
fedup	1
fee	3
feed	6
feedback	4
feeding	1
feeds	4
feel	95
feeling	18
feelings	4
feels	14
fees	16
feet	9
feinstein	1
feisty	1
fell	15
fella	1
fellow	18
fellows	1
felon	2
felony	1
felt	13
female	5
feminist	1
fence	13
fendi	2
fenway	1
ferguson	12
fernando	1
ferocious	1
ferrara	2
ferrari	1
ferry	29
ferrypoint	1
fervor	1
fessio	1
fest	8
festival	3
fetched	1
feud	4
feuding	1
feuds	1
fever	1
few	67
fewer	7
ffc	1
ffcs	1
fi	2
fiasco	11
fiasco7	1
fiascos	2
fiat	2
fibbing	1
fiber	1
fibrosis	1
fiction	6
fictional	2
fictious	1
fictitious	2
fidel	1
field	50
fieldand	1
fields	8
fierce	4
fifth	14
fifty	2
fight	162
fighter	7
fighterjet	1
fighters	6
fighthe	1
fighting	72
fights	4
figthing	1
figure	16
figured	3
figures	6
figurewants	1
file	11
filed	22
files	4
filibuster	3
filing	2
filings	1
filipinos	1
filippo	1
fill	9
filled	11
filler	1
filling	3
fills	1
film	13
filmed	5
filming	12
filminggreat	1
filmmaker	4
filmography	1
films	1
filner	1
filter	3
filthy	2
final	65
finale	27
finaleand	1
finalists	1
finalizes	4
finally	97
finallypunta	1
finals	2
finance	14
financeable	1
financed	1
finances	12
financial	43
financially	3
financials	3
financing	6
find	140
finder	8
finding	8
findings	1
finds	8
fine	34
finebut	2
fined	2
finery	1
fines	1
finest	27
finewhy	1
fing	1
finger	7
fingers	3
finish	19
finished	50
finishes	1
finishgutless	1
finishing	5
finite	1
finkelstein	1
finland	1
finnish	1
fiorina	15
fire	80
firebombed	1
fired	117
firedand	1
firedfor	1
firedrefuses	1
firedthe	1
firedthey	1
firefighters	2
fireman	1
fires	6
fireworks	15
firing	25
firings	3
firingstrump	1
firm	15
firmly	1
firms	2
first	402
firstby	1
firstever	4
firsti	1
firstminister	1
fiscal	30
fiscally	3
fish	1
fist	3
fit	12
fitch	1
fitn	1
fitness	1
fits	2
fittest	1
fitting	2
fitzgerald	2
five	55
fiveandahalfinch	1
fivediamond	4
fivelevel	1
fiveshes	1
fivestar	12
fix	142
fixd	1
fixed	18
fixes	1
fixing	16
fixup	1
fizzle	1
fkface	2
fl	27
fla	4
flabbergasted	1
flack	1
flag	22
flags	13
flagship	2
flagstoo	1
flailing	1
flake	2
flakes	1
flamboyant	1
flamed	1
flames	1
flamestoo	1
flappin	1
flashback	18
flashback1986	1
flashbk	1
flashes	1
flat	5
flattered	2
flattering	1
flattery	2
flavors	1
flawed	1
flawedbut	1
flawless	2
flawlessly	1
fleas	1
fled	2
fledgling	1
fledhe	1
flee	1
fleece	1
fleeing	4
fleet	3
fletcher	2
flew	8
flexibility	3
flexible	12
flexibly	2
flier	1
flies	5
flight	13
flights	36
flimsy	1
flinched	1
flip	5
flipflops	1
flipped	1
flipping	2
flirts	1
float	1
floated	1
flood	6
flooding	2
floods	2
floor	6
floortoceiling	3
flop	1
flopped	1
flopper	1
flops	2
flops️flops	1
florida	158
floridaa	1
floridagreat	1
floridahe	1
floridajust	1
floridanothing	1
floridas	6
floridatomorrow	1
floridian	1
floridians	2
flotus	1
flourish	1
flourishing	1
flow	4
flowers	2
flown	1
floyd	5
fls	1
fltheyre	1
fluff	1
fluid	3
fluke	1
flunkies	1
flunky	8
flush	1
fly	13
flyer	1
flying	15
flynn	3
flyover	1
fm	2
fmr	1
fnn	1
fo	2
focus	157
focused	50
focusednothing	1
focuses	1
focusing	17
focusingi	1
focusnever	1
foerderer	1
foes	1
fog	2
foil	1
fold	10
folded	1
foldi	1
folding	2
foldo	1
foley	6
foliage	1
folk	4
folks	30
folksthe	1
follow	103
followed	9
follower	9
followers	43
followersand	1
following	31
followingcommenting	1
followings	1
followme	1
follownothing	1
follows	7
folly	1
fond	1
fonda	1
fondling	1
font	1
food	63
foodstamp	1
foodthanks	1
fool	37
fooled	2
foolish	15
foolishly	3
foolishthey	1
foolishwhat	1
fools	23
foot	9
footage	2
football	33
footer	1
footprint	4
footsteps	1
fop	1
for	6000
fora	1
forbes	23
forbid	1
forbidden	1
forbids	1
force	59
forced	22
forceful	1
forcefully	1
forces	20
forcing	10
ford	43
fords	1
forecast	3
foreclosed	1
foreclosure	1
foreclosures	2
forefathers	2
foreign	87
foreigners	4
foremost	3
forensic	1
foreseeable	2
foresight	4
forest	2
forestjeff	1
forever	22
forewarned	1
forfeit	1
forge	1
forged	1
forgery	3
forget	83
forgets	3
forgetting	2
forgivable	1
forgive	2
forgiven	1
forgiveness	2
forgiving	1
forgot	13
forgotten	16
foriegn	1
forit	1
forjoan	1
forkin	1
form	23
formal	3
formally	1
format	1
formation	1
formed	5
former	43
formerly	7
formermiss	1
formidable	8
